,adress_velo,lat_velo,lng_velo,bike_stands,status,available_bike_stands,available_bikes,availability,id_velo,type
55,"196, Avenue Pierre Mendes France",45.8159701108686600,4.8870434508176660,18,OPEN,11,7,Vert,30002,station_velo
56,Rue des Cuirassiers,45.7598976512354200,4.8575730314142140,59,OPEN,59,0,Orange,3011,station_velo
57,135 rue Château Gaillard,45.7715543267274200,4.8903742138377730,17,OPEN,2,15,Vert,10092,station_velo
58,Place des Maisons Neuves,45.7559670655560100,4.8774136476772200,23,OPEN,0,23,Bleu,10024,station_velo
59,"49, Cours de la République",45.7675173783310900,4.8740105549119060,24,OPEN,11,13,Vert,10028,station_velo
60,"12, Rue Félix Mangini",45.7904088071307300,4.8163493917942380,24,OPEN,21,3,Vert,9046,station_velo
61,"183, Rue André Philip",45.7615909258196600,4.8504811626495200,18,OPEN,15,2,Vert,3083,station_velo
62,"153, Rue de Créqui",45.7637960125263300,4.8470620002854570,15,OPEN,8,6,Vert,6033,station_velo
63,"Face 174, Rue de Gerland",45.7298058652087600,4.8381384383404170,12,OPEN,11,1,Vert,7021,station_velo
64,"Face 3, Quai Victor Augagneur",45.7619651301154850,4.8410534307662090,19,OPEN,18,1,Vert,3044,station_velo
65,122b Avenue Jules Guesde,45.7085339720955660,4.8870248117095900,25,OPEN,24,0,Orange,16005,station_velo
66,"37, Rue du 4 Août 1789",45.7644829391731900,4.8779206263003290,30,OPEN,0,29,Bleu,10019,station_velo
67,"Face 98, Rue Villon",45.7383023357079350,4.8627327832044810,13,OPEN,1,12,Vert,8034,station_velo
68,"13, Quai romain Rolland",45.7633837102434300,4.8290114774217890,14,OPEN,13,1,Vert,5026,station_velo
69,"65, Boulevard Vivier Merle",45.7572314152350900,4.8589083673700480,20,OPEN,20,0,Orange,3038,station_velo
70,Chemin Wette Fays,45.7879516402910550,4.8530543333992190,25,OPEN,10,15,Vert,11005,station_velo
71,"4, Place Louise",45.7512052508819200,4.8848204636500700,16,OPEN,5,11,Vert,3079,station_velo
72,"1, Rue Ferrandière",45.7620553014781300,4.8332059556379780,10,OPEN,2,8,Vert,2025,station_velo
73,Place Jean Macé,45.7465601730305500,4.8423412580916120,30,OPEN,0,28,Bleu,7004,station_velo
74,"2, Rue des Acacias",45.7804458217109400,4.9044888457892960,12,OPEN,2,7,Vert,10119,station_velo
75,"Face 27, Rue de la Thibaudière",45.7503447975739450,4.8450482534996375,28,OPEN,3,25,Vert,7053,station_velo
76,Place du Château,45.7495170788471200,4.8872857232192940,25,OPEN,20,5,Vert,3012,station_velo
77,Rue Denfert-Rochereau,45.7758995112138400,4.8253789620711200,14,OPEN,3,11,Vert,4009,station_velo
78,"22, Rue colin",45.7744984646734300,4.8740523266943320,15,OPEN,11,4,Vert,10089,station_velo
79,Place de la Paix,45.7680236126546500,4.8317412517184160,20,OPEN,2,17,Vert,1031,station_velo
80,"209, Rue Paul Bert",45.7571028581681740,4.8534807971166600,20,OPEN,15,5,Vert,3037,station_velo
81,"18, Rue Edouard Rochet",45.7472342916476600,4.8654404007908300,20,OPEN,19,0,Orange,8035,station_velo
82,"27, Rue Emile Bertrand",45.7718733296366760,4.9557667876110880,20,OPEN,10,10,Vert,13001,station_velo
83,Quai Charles de Gaulle,45.7854214249623800,4.8541240727107640,21,OPEN,21,0,Orange,6035,station_velo
84,44 Bd de la Croix Rousse,45.7743716157555500,4.8328150087604630,17,OPEN,16,0,Orange,1036,station_velo
85,"5-6, Place Maréchal Lyautey",45.7693730577565400,4.8423179538871635,20,OPEN,0,20,Bleu,6022,station_velo
86,"45, Rue du Bourbonnais",45.7734645659819600,4.8002879293936390,12,OPEN,6,6,Vert,9020,station_velo
87,48 Cours Suchet,45.7461030735744740,4.8256053939445850,20,OPEN,8,12,Vert,2027,station_velo
88,Place Regaud,45.7630769295670000,4.8342866883470440,12,OPEN,12,0,Orange,2016,station_velo
89,"5, Rue de Verdun",45.7339455296300700,4.9087206818679405,23,OPEN,17,6,Vert,14004,station_velo
90,"100, Cours Charlemagne",45.7426115005543960,4.8204716703055040,37,OPEN,32,4,Vert,2007,station_velo
91,"Face 29, Avenue Jean Mermoz",45.7351509957905000,4.8728173875360470,21,OPEN,11,10,Vert,8004,station_velo
92,"86, Rue de la Charité",45.7492533954913900,4.8298441257520310,17,OPEN,0,17,Bleu,2039,station_velo
93,Rue Joseph Blein,45.7570697600648660,4.9273216112656590,15,OPEN,7,7,Vert,12003,station_velo
94,"3, Rue de St-Cyr",45.7997914275755500,4.8196018687552730,12,OPEN,2,10,Vert,25001,station_velo
95,"Face 56, Quai Pierre Scize",45.7665803442908100,4.8202302422982600,21,OPEN,7,14,Vert,5041,station_velo
96,Place des Rendez vous,45.8354059997715200,4.8457000001885610,20,OPEN,16,4,Vert,28002,station_velo
97,"53, Rue de l'Université",45.7485374331787540,4.8432493337468060,20,OPEN,0,20,Bleu,7061,station_velo
98,"Face 327, Rue Garibaldi",45.7477327368804800,4.8516273700582800,19,OPEN,0,19,Bleu,7062,station_velo
99,"Face 14, Avenue Verguin",45.7729113974482800,4.8563267813588190,20,OPEN,18,2,Vert,6003,station_velo
100,Rue de la Poudrette,45.7608131946829250,4.9206039456886055,25,OPEN,25,0,Orange,12001,station_velo
101,"Face 16, Avenue Galline",45.7763954484591800,4.8670871111508170,15,OPEN,6,9,Vert,10055,station_velo
102,Place d'Helvétie,45.7731863072103200,4.8419593354412900,30,OPEN,7,23,Vert,6025,station_velo
103,"74, Rue de la Villette",45.7577878804856440,4.8614973648418860,38,OPEN,38,0,Orange,3094,station_velo
104,"67, Rue Edmond Locard",45.7600785770139300,4.7984076149535470,15,OPEN,15,0,Orange,5044,station_velo
105,"10, rue du Dauphiné",45.7499462288418300,4.8646503841216660,30,OPEN,7,22,Vert,3069,station_velo
106,Place Charles Hernu,45.7702250288524500,4.8631517199360460,46,OPEN,43,3,Vert,10006,station_velo
107,Place Flammarion,45.7793264516606800,4.8203031984414520,18,OPEN,8,10,Vert,4007,station_velo
108,"108, Rue Roger salengro",45.7783682080048800,4.8796732813004160,24,OPEN,8,16,Vert,10008,station_velo
109,"Face 74, Rue de la Part-Dieu",45.7596453088344100,4.8482665597083550,27,OPEN,20,5,Vert,3004,station_velo
110,49 Avenue Gorges Clémenceau,45.6978120018869000,4.7947728497160735,12,OPEN,12,0,Orange,19001,station_velo
111,"21, Rue Docteur Dolard",45.7614496449619350,4.8724655049634790,25,OPEN,0,25,Bleu,10073,station_velo
112,"109, Route de Genas",45.7544406098892150,4.8852693286713480,32,OPEN,19,13,Vert,10112,station_velo
113,"Face au 84, Quai Joseph Gillet",45.7881700188236600,4.8185602866725280,25,OPEN,9,16,Vert,4024,station_velo
114,"312, Cours du 3ème Millénaire",45.7144103841041840,4.9310143156708940,20,OPEN,17,3,Vert,15001,station_velo
115,"3, Quai André Lassagne",45.7722014692572260,4.8379117929264730,16,OPEN,0,16,Bleu,1035,station_velo
116,"1, Rue Jean de Tournes",45.7607516950581540,4.8343042285358890,26,OPEN,11,15,Vert,2014,station_velo
117,Allée Achille Lignon,45.7823061128328350,4.8493439808167290,27,OPEN,27,0,Orange,6037,station_velo
118,"141, Cours Emile Zola",45.7700978432658200,4.8766904175328010,19,OPEN,0,19,Bleu,10074,station_velo
119,"Face 77b, Rue Marietton",45.7760850428762750,4.7997376609700090,20,OPEN,0,19,Bleu,9043,station_velo
120,"241, Grande Rue de la Guillotière",45.7479327825068000,4.8563371818097670,30,OPEN,2,26,Vert,7051,station_velo
121,"45, Rue de Gerland",45.7398132348896800,4.8403073886228570,20,OPEN,2,17,Vert,7031,station_velo
122,"Face 303, Rue Duguesclin",45.7530043530221000,4.8502474272199690,38,OPEN,0,36,Bleu,3029,station_velo
123,"Face 18, Rue Joseph Serlin",45.7676109468329100,4.8366570054128440,41,OPEN,10,30,Vert,1002,station_velo
124,"Face 106, Avenue Félix Faure",45.7538149056220500,4.8598558941293660,35,CLOSED,0,0,Gris,3036,station_velo
125,"15, Rue des Remparts d'Ainay",45.7530892095642200,4.8298071448327240,24,OPEN,6,17,Vert,2038,station_velo
126,"106, Grande rue de la Guillotière",45.7510565465262100,4.8480482303453220,10,OPEN,2,7,Vert,7039,station_velo
127,"Face 317, Avenue Jean Jaurès",45.7275732848257200,4.8311974821956260,40,OPEN,40,0,Orange,7006,station_velo
128,"276, Cours Emile Zola",45.7670909450657100,4.8924286413845515,22,OPEN,6,15,Vert,10058,station_velo
