,adress_velo,lat_velo,lng_velo,bike_stands,status,available_bike_stands,available_bikes,availability,id_velo,type
242,"60, Boulevard des Canuts",45.7797553671142550,4.8276484010879560,22,OPEN,22,0,Orange,4004,station_velo
243,"186, Avenue Paul Santy",45.7254037172008000,4.8812948922096580,18,OPEN,18,0,Orange,8061,station_velo
244,"10, Place de la Paix",45.7520735665841300,4.9146693240440210,17,OPEN,13,4,Vert,10016,station_velo
245,"103, Rue Anatole France",45.7681141025166000,4.8790813175577960,20,OPEN,1,19,Vert,10079,station_velo
246,"175, Avenue Jean Jaurès",45.7375180973509360,4.8375089199170210,16,OPEN,0,16,Bleu,7009,station_velo
247,"Face 40, Avenue Leclerc",45.7377409586890200,4.8244875157097110,25,OPEN,0,25,Bleu,7045,station_velo
248,"Face 52, Rue Baraban",45.7620516689039150,4.8685003507160690,20,OPEN,0,20,Bleu,3101,station_velo
249,Rue Tabareau,45.7740806705343900,4.8251597121983645,10,OPEN,4,6,Vert,4021,station_velo
250,"4, Place Danton",45.7548124485154400,4.8575743726010305,18,OPEN,16,2,Vert,3103,station_velo
251,"64, Rue Pierre Corneille",45.7637594783418750,4.8437773405191870,13,OPEN,6,7,Vert,6031,station_velo
252,"4, Rue Florian",45.7618051903302860,4.8807224046277390,21,OPEN,1,20,Vert,10018,station_velo
253,"86, Rue Saint Pierre de Vaise",45.7704769200645740,4.8009004832411430,16,OPEN,0,16,Bleu,9044,station_velo
254,"22, Rue Voltaire",45.7032558571012300,4.8212003761276780,15,OPEN,4,11,Vert,18001,station_velo
255,24 Rue Anatole France,45.7669053920040840,4.8701613960086180,20,OPEN,2,18,Vert,10045,station_velo
256,"68, Rue Antoine Charial",45.7578618343521100,4.8683505318832685,16,OPEN,0,16,Bleu,3085,station_velo
257,"35, Avenue Rockefeller",45.7413337186004100,4.8855408242791200,19,OPEN,18,1,Vert,3024,station_velo
258,"41, Rue Sala",45.7544732763091350,4.8330110846859420,21,OPEN,1,20,Vert,2041,station_velo
259,Place Rouville,45.7696644422938000,4.8246123488633990,17,OPEN,13,4,Vert,1024,station_velo
260,13 Promenade des Tuileries,45.7632560325953860,4.7786100656705530,12,OPEN,6,6,Vert,23001,station_velo
261,"332, Boulevard de Balmont",45.7893151875845100,4.7991603409726270,12,OPEN,12,0,Orange,9052,station_velo
262,"Face 2, Rue de la Poudrette",45.7644003130587800,4.9192757859473670,20,OPEN,20,0,Orange,12002,station_velo
263,"228, Avenue du Plateau",45.7836371650547900,4.7945253084995630,12,OPEN,12,0,Orange,9050,station_velo
264,"76, Rue Pierre Baratin",45.7605989970817800,4.9006968059950955,12,OPEN,6,6,Vert,10087,station_velo
265,Avenue de Birmingham,45.7746311098016750,4.8134162571603990,20,OPEN,3,17,Vert,4026,station_velo
266,"41, Route de Genas",45.7529175454410300,4.8988991727177510,16,OPEN,13,3,Vert,10041,station_velo
267,"Face 119, Avenue Maréchal de Saxe",45.7575642739996500,4.8461181734350030,28,OPEN,20,8,Vert,3082,station_velo
268,"25, Rue des Charmettes",45.7706590731821400,4.8672514558705640,23,OPEN,1,22,Vert,10046,station_velo
269,"19, Rue de Saint-Cloud",45.7300799170408600,4.8278229564284700,28,OPEN,23,5,Vert,7046,station_velo
270,"6, Rue de l'Antiquaille",45.7583623960292900,4.8210866415482530,12,OPEN,3,9,Vert,5050,station_velo
271,"Face 16, Quai Claude Bernard",45.7514132273513000,4.8363931815987780,40,OPEN,40,0,Orange,7002,station_velo
272,Place d'Arsonval,45.7434156767836340,4.8789206164428370,32,OPEN,30,1,Vert,3007,station_velo
273,"Face 1, Rue Saint Antoine",45.7628598508923400,4.8622869000871980,23,OPEN,20,1,Vert,3006,station_velo
274,301 avenue A.Sakharov,45.7865247393491300,4.7970709023310110,12,OPEN,11,0,Orange,9051,station_velo
275,Pont Raymond Barre,45.7333725083867400,4.8189577716666860,20,OPEN,17,0,Orange,2020,station_velo
276,Place de Trion,45.7579063089064060,4.8131349528107470,16,OPEN,10,6,Vert,5007,station_velo
277,"Face 112, Rue Servient",45.7607774131537200,4.8526789906473330,32,OPEN,32,0,Orange,3015,station_velo
278,"Face 42, Rue Paul Cazeneuve",45.7340200917966400,4.8629023792941540,19,OPEN,0,19,Bleu,8037,station_velo
279,Avenue du 11 novembre 1918,45.7790639863242460,4.8714964631896150,35,OPEN,34,0,Orange,10056,station_velo
280,"2, Avenue du Commandant Lherminier",45.7711232449440600,4.8850235984658990,15,OPEN,3,11,Vert,10047,station_velo
281,"Face 34, Place Bellecour",45.7581569109321860,4.8304346949094690,40,OPEN,3,37,Vert,2002,station_velo
282,Avenue Jean Mermoz,45.7307718508980800,4.8873709126801900,23,OPEN,23,0,Orange,8023,station_velo
283,Place Lebret,45.7356503881221000,4.8530426544700740,14,OPEN,0,14,Bleu,8011,station_velo
284,14 quai Saint Vincent,45.7678957694769400,4.8198166574203690,22,OPEN,8,13,Vert,1006,station_velo
285,"115, Rue Tronchet",45.7707371546228860,4.8567521774675420,10,OPEN,8,1,Vert,6024,station_velo
286,Rue Professeur Beauvisage,45.7297663546006700,4.8681665813493630,20,OPEN,4,16,Vert,8006,station_velo
287,"230, Cours emile Zola",45.7680704202145800,4.8871237200591935,16,OPEN,0,16,Bleu,10012,station_velo
288,"67, Avenue roger Salengro",45.7768977023466300,4.8764587904000850,24,OPEN,3,20,Vert,10124,station_velo
289,Place de la Croix-Rousse,45.7760751390863940,4.8325539207543910,21,OPEN,20,1,Vert,4022,station_velo
290,"1, quai Perrache",45.7445140498693900,4.8267751858799750,18,OPEN,15,3,Vert,2023,station_velo
291,"Face 69, Rue Audibert & Lavirotte",45.7357952320592900,4.8568128186712000,18,OPEN,0,18,Bleu,8056,station_velo
292,Rue Jeunet,45.7504814834310240,4.7887741211031210,18,OPEN,16,2,Vert,5045,station_velo
293,Rue de la Villette,45.7600550578148400,4.8616738805899400,30,OPEN,29,0,Orange,3080,station_velo
294,Place Gerson,45.7670544551410640,4.8270475070640995,20,OPEN,4,16,Vert,5029,station_velo
295,Place Carnot,45.7500996433260700,4.8280515013551550,18,OPEN,11,7,Vert,2004,station_velo
296,"Face 22, Quai Claude Bernard",45.7494176952947240,4.8347520047111060,28,OPEN,15,12,Vert,7033,station_velo
297,Rue Domer,45.7466748285384950,4.8444434656856060,12,OPEN,1,11,Vert,7041,station_velo
298,"95, Boulevard Pinel",45.7419115491076800,4.8939591141013690,20,OPEN,17,3,Vert,3090,station_velo
299,"159, Rue Rrofesseur Beauvisage",45.7278718558835000,4.8634420589052640,17,OPEN,5,12,Vert,8008,station_velo
300,Rue du Sytral,45.7651240553553600,4.9098182197044350,28,OPEN,28,0,Orange,10014,station_velo
301,Rue Salvador Allende,45.7762290755166300,4.8626206255202240,10,OPEN,3,7,Vert,10004,station_velo
302,44 bd des Brotteaux,45.7663673112669600,4.8570018759142295,15,OPEN,11,3,Vert,6045,station_velo
303,"34, Cours de la Liberté",45.7593422663364460,4.8422275870211210,18,OPEN,13,5,Vert,3016,station_velo
304,"18, Rue Bourgelat",45.7530445329675700,4.8282455395393775,10,OPEN,3,7,Vert,2003,station_velo
305,"26, Rue Simone de Beauvoir",45.7367572482025800,4.8341384445028766,20,OPEN,0,20,Bleu,7017,station_velo
306,"3, Quai Paul Sédallian",45.7974121962714450,4.8290463533634590,16,OPEN,2,14,Vert,9008,station_velo
307,"79, Rue Philippe De Lassalle",45.7817001067679500,4.8206000461275870,16,OPEN,7,9,Vert,4042,station_velo
308,"29, Boulevard du 11 Novembre 1918",45.7793865753173900,4.8630954295037990,30,OPEN,28,1,Vert,10053,station_velo
309,"Face 99, Rue Bugeaud",45.7666921938824100,4.8520859812468150,20,OPEN,6,14,Vert,6039,station_velo
310,"2, Rue Marcel-Gabriel Rivière",45.7598862786474200,4.8357987999345910,23,OPEN,9,14,Vert,2035,station_velo
311,"Face 18, Quai du Commerce",45.7821031892804900,4.8105291426940370,30,OPEN,28,1,Vert,9014,station_velo
312,"28, Quai Victor Augagneur",45.7571997023265400,4.8404991375424880,40,OPEN,6,32,Vert,3097,station_velo
313,"3, Rue Philomène Magnin",45.7526134281457900,4.8587401961093760,24,OPEN,17,4,Vert,3035,station_velo
314,Rue Masaryk,45.7786288989070300,4.8071200280976580,13,OPEN,8,5,Vert,9022,station_velo
315,"Face 65, Boulevard Vivier Merle",45.7573393130977700,4.8585122373993705,19,OPEN,18,1,Vert,3138,station_velo
316,"5, Rue Félix Rollet",45.7483207051236600,4.8759239595508280,20,OPEN,19,1,Vert,3050,station_velo
317,"2, Rue Docteur Albéric Pont",45.7534443435600400,4.8044009888454050,16,OPEN,13,3,Vert,5047,station_velo
318,"6, Rue Antoine Lumière",45.7435678516368260,4.8701017463457850,16,OPEN,15,1,Vert,8053,station_velo
319,Rue Paradin,45.7353725112499350,4.8895389263694160,15,OPEN,14,1,Vert,8059,station_velo
320,Rue Hauy,45.7595743615015700,4.8827345465271020,24,OPEN,0,24,Bleu,10110,station_velo
321,"46, Rue Garibaldi",45.7706974838463400,4.8499357293643790,11,OPEN,0,11,Bleu,6021,station_velo
322,"Face 8, Rue de Trion",45.7559666422450850,4.8189064482919700,18,OPEN,10,8,Vert,5053,station_velo
323,"10, rue Paul Kruger",45.7386714403411200,4.8781174224582780,16,OPEN,10,6,Vert,8058,station_velo
324,"18, Rue Dugas Montbel",45.7479691410901740,4.8248617280093150,40,OPEN,12,28,Vert,2037,station_velo
325,"Face 2, Rue Professeur Jean Bernard",45.7227936222946950,4.8426881110123930,12,OPEN,12,0,Orange,7015,station_velo
326,"66, Avenue Jean Mermoz",45.7332717801444000,4.8786008569623750,12,OPEN,3,9,Vert,8024,station_velo
327,"25, Rue Jean Baldassini",45.7276967807767200,4.8373820902736710,20,OPEN,20,0,Orange,7026,station_velo
328,Place de la Libération,45.7750890702448960,4.7786729160837340,12,OPEN,12,0,Orange,24001,station_velo
329,"64, Cours Albert Thomas",45.7467163314946900,4.8674286445260060,20,OPEN,18,2,Vert,8038,station_velo
330,"Face 4, Rue Jacques Brel",45.7742206902452650,4.8642913478558220,23,OPEN,4,19,Vert,10072,station_velo
331,"28, Boulevard des Belges",45.7745048729892700,4.8484771018513760,15,OPEN,0,15,Bleu,6020,station_velo
332,"218, Avenue Jean Jaurès",45.7347254902347200,4.8354967607642045,34,OPEN,24,9,Vert,7057,station_velo
333,Rue des Frères Lumières,45.7450177556259450,4.8664326009099320,15,OPEN,9,5,Vert,8007,station_velo
334,"Face 2, Rue Tissot",45.7772955373720100,4.8033117445656650,16,OPEN,9,7,Vert,9006,station_velo
335,Angle rue Emile Decorps / Rue Max Barel,45.7571184153073900,4.8999931509132550,13,OPEN,12,1,Vert,10032,station_velo
336,"Face 145, Rue Anatole France",45.7688421415694200,4.8842920788240150,13,OPEN,4,8,Vert,10059,station_velo
337,"53, Rue Chapeau Rouge",45.7709906411448560,4.8075804142518950,12,OPEN,10,2,Vert,9040,station_velo
338,Rue de la Viabert,45.7659879833823500,4.8620922782007510,16,OPEN,13,3,Vert,6016,station_velo
339,"17, Rue des Emeraudes",45.7684122613764600,4.8590705567383440,20,OPEN,17,2,Vert,6008,station_velo
340,"105, Avenue Jean Jaurès",45.7439143269094760,4.8414244448529230,30,OPEN,7,22,Vert,7022,station_velo
341,"2, Rue de la Caille",45.7525394294912600,4.8942674717120900,16,OPEN,12,4,Vert,3102,station_velo
342,Place Jules Grandclément,45.7197119647566300,4.8885353662634170,25,OPEN,25,0,Orange,16004,station_velo
343,"243, Cours Emile Zola",45.7660755301366000,4.8986104854167065,19,OPEN,9,10,Vert,10088,station_velo
344,"24, Allée Pierre de Coubertin",45.7243483551230100,4.8268214305884180,26,OPEN,17,9,Vert,7020,station_velo
345,"192, Avenue Barthélémy Buyer",45.7638977674247500,4.7927143081079860,18,OPEN,17,1,Vert,5054,station_velo
346,"3, Rue Félissent",45.7529863435116100,4.8414152874617790,30,OPEN,14,14,Vert,7014,station_velo
347,"33, Rue Terme",45.7677346863698560,4.8321350621908300,16,OPEN,0,15,Bleu,1001,station_velo
348,Rue des Arts,45.7845253204189650,4.8774831875688880,30,OPEN,27,1,Vert,10103,station_velo
349,"59, Rue Carnot",45.7080855971723300,4.8617756041383320,18,OPEN,8,10,Vert,17003,station_velo
350,"1, Quai Joseph Gillet",45.7703894302220250,4.8142456674237000,22,OPEN,21,1,Vert,4001,station_velo
351,"Face 44, Rue de la Feyssine",45.7829835939928100,4.8906345956727780,20,OPEN,12,7,Vert,10043,station_velo
352,"1, Rue Stella",45.7607097863131200,4.8362889729420430,27,OPEN,18,7,Vert,2015,station_velo
353,"101, Avenue Paul Santy",45.7285181510160800,4.8773059343942400,16,OPEN,7,9,Vert,8021,station_velo
354,"4, Place Le Viste",45.7579850990088100,4.8345938219838450,18,OPEN,16,2,Vert,2001,station_velo
355,"60, Cours Charlemagne",45.7444223014223040,4.8221428704396105,16,OPEN,13,3,Vert,2028,station_velo
356,Place de l'Hippodrome,45.7455815521804800,4.8235326732363090,24,OPEN,7,17,Vert,2006,station_velo
357,"51, Avenue Georges Pompidou",45.7594733965948140,4.8693428966594270,20,OPEN,0,20,Bleu,3021,station_velo
358,25 Rue du Plat,45.7567868700412700,4.8283859178654340,14,OPEN,1,13,Vert,2011,station_velo
359,"26, Avenue Tony Garnier",45.7279188576411300,4.8235600814059090,25,OPEN,23,0,Orange,7049,station_velo
360,"2, Rue Claude Baudrand",45.7857755308468400,4.8337134215891260,18,OPEN,7,11,Vert,11001,station_velo
361,Place Joannès Ambre,45.7815755185206100,4.8328577220510200,20,OPEN,19,1,Vert,4011,station_velo
362,"5, Avenue Pierre Mendès France",45.7226607315060460,4.9152084999909755,30,OPEN,26,4,Vert,14005,station_velo
363,48 cours Aristide Briand,45.7854707644412200,4.8478421222935550,20,OPEN,13,7,Vert,11002,station_velo
364,Boulevard Eugène Deruelle,45.7629790120815440,4.8550066229888000,30,OPEN,30,0,Orange,3003,station_velo
365,"103, cours Emile Zola",45.7708423081013860,4.8726157733046390,17,OPEN,1,16,Vert,10061,station_velo
366,Place Commandant Arnaud,45.7797251519675600,4.8347072824510775,17,OPEN,12,5,Vert,4003,station_velo
367,"96, Rue Chevreul",45.7454305152808000,4.8477802774631010,17,OPEN,0,17,Bleu,7064,station_velo
368,"Face 12, Boulevard des Canuts",45.7760264913711400,4.8296210962258830,17,OPEN,11,6,Vert,4017,station_velo
369,"5, Quai Pasteur",45.8766089913122200,4.8386237264875970,20,OPEN,12,8,Vert,34001,station_velo
370,"202, Avenue Félix Faure",45.7550605472608750,4.8713973381549930,28,OPEN,0,22,Bleu,3068,station_velo
371,"37, Rue du Repos (entrée parc Blandan)",45.7459637288850100,4.8511961077823750,25,OPEN,0,25,Bleu,7052,station_velo
372,"4, Place Gabriel Péri",45.7548790164649200,4.8436750818920180,20,OPEN,5,12,Vert,7001,station_velo
373,Allée Achille Lignon,45.7838816142830540,4.8521404034163990,23,OPEN,21,1,Vert,6036,station_velo
374,"259t, Avenue Jean Jaurès",45.7317535548177500,4.8339617941232040,20,OPEN,20,0,Orange,7005,station_velo
375,"2, Avenue des Frères Lumière",45.7470826073157540,4.8601908518953540,16,OPEN,14,1,Vert,8052,station_velo
376,"2, Allée Andrée Mure",45.7434140947079900,4.8158543610390250,22,OPEN,19,1,Vert,2010,station_velo
377,"4, Quai Fulchiron",45.7520011769432900,4.8216617983516280,19,OPEN,4,15,Vert,5015,station_velo
378,Quai Jean Lavergne,45.8459976867574600,4.8324121337552800,17,OPEN,6,10,Vert,32001,station_velo
379,"11, Cours Franklin Roosevelt",45.7688513697593600,4.8447649388425830,20,OPEN,6,14,Vert,6004,station_velo
380,"8, Rue de l'Université",45.7509549511840560,4.8392671207183300,40,OPEN,33,7,Vert,7035,station_velo
381,"39, Rue Roger Salengro",45.7762463810845300,4.8716371652356000,15,OPEN,7,8,Vert,10120,station_velo
382,"49, Avenue du Point du Jour",45.7561939286588800,4.8027110791690140,13,OPEN,13,0,Orange,5016,station_velo
383,"75, Rue Pasteur",45.7915896614286200,4.8433313161068385,15,OPEN,13,2,Vert,11004,station_velo
384,"Face 4, Quai Général Sarrail",45.7668296196242750,4.8411393393513280,14,OPEN,3,11,Vert,6023,station_velo
385,"Face 8, Quai Claude Bernard",45.7536107053595200,4.8382209724032040,31,OPEN,31,0,Orange,7034,station_velo
386,"11, Rue Chenavard",45.7667671045630000,4.8329314879659680,18,OPEN,3,15,Vert,1020,station_velo
387,"97, Rue du 4 août 1789",45.7647991690610000,4.8842705328109050,15,OPEN,1,14,Vert,10064,station_velo
388,"Face au 140, Rue Bataille",45.7362679934923260,4.8797373771291825,18,OPEN,18,0,Orange,8050,station_velo
389,"105, Rue Pasteur",45.7473561743230900,4.8359996982041680,19,OPEN,15,4,Vert,7010,station_velo
390,"8, Boulevard Vivier Merle",45.7631656364620200,4.8574964441155850,28,OPEN,0,0,Gris,3019,station_velo
391,"294, Rue Francis de Préssensé",45.7691684753850800,4.8967695846255020,16,CLOSED,0,0,Gris,10049,station_velo
392,"9, Rue des Cuirassiers",45.7589741653167500,4.8560584600300250,,,,,,3010,station_velo
393,"Face 50, Rue des Docks",45.7865084443620300,4.8114412174203720,19,OPEN,19,0,Orange,9042,station_velo
394,"8, Avenue Tony Garnier",45.7308422388673200,4.8237404067653960,20,OPEN,12,8,Vert,7013,station_velo
395,"1, Rue Rivet",45.7402806526508460,4.8320593704251730,20,OPEN,0,18,Bleu,7018,station_velo
396,"52, Quai Paul Sédallan",45.7875097567311800,4.8144211278496750,20,OPEN,20,0,Orange,9013,station_velo
397,"110, Cours Vitton",45.7703105281291940,4.8620024989211670,20,OPEN,15,5,Vert,10111,station_velo
398,Rue de la Martinière,45.7682183165922000,4.8276217044711550,11,OPEN,2,9,Vert,1013,station_velo
399,"113, Rue de St Cyr",45.7915736750577340,4.8085346353439210,17,OPEN,12,5,Vert,26001,station_velo
400,"52, Rue Sidoine Apollinaire",45.7710182884515100,4.7964503487575510,19,OPEN,8,10,Vert,9010,station_velo
401,"10, Rue Juliette Récamier",45.7643336975612060,4.8534921297061950,16,OPEN,15,1,Vert,6028,station_velo
402,"46, Rue du Docteur Damidot",45.7618201068858800,4.8861338655236200,18,OPEN,0,18,Bleu,10034,station_velo
403,"1, Place Victor Basch",45.7537858652435600,4.8480424261036825,26,OPEN,12,11,Vert,3005,station_velo
404,"34, Rue Billon",45.7719119252490800,4.8790707067819020,16,OPEN,0,15,Bleu,10121,station_velo
405,11 Rue Paul Cazeneuve,45.7373337133711400,4.8654943125527870,20,OPEN,17,3,Vert,8033,station_velo
406,49 bis Esplanade Lina Cretet,45.7673654785190900,4.8056276995192775,40,OPEN,29,11,Vert,9033,station_velo
407,"87, Avenue Félix Faure",45.7535182868894700,4.8577376181704960,35,OPEN,32,3,Vert,3040,station_velo
408,Place Antoinette,45.7536532555808650,4.8892423184432870,21,OPEN,14,7,Vert,3013,station_velo
409,"Face 30, Montée des Carmélites",45.7700015740910800,4.8292695053207500,16,OPEN,2,14,Vert,1034,station_velo
410,"149, Rue Boileau",45.7640576127189100,4.8499305460757520,15,OPEN,11,3,Vert,6040,station_velo
411,"112, Rue de la Poudrette",45.7578829540715000,4.9211417117922070,18,OPEN,18,0,Orange,10015,station_velo
412,"19, Rue Saint Jean",45.7766422715883900,4.9023610707870110,12,OPEN,2,10,Vert,10123,station_velo
413,Place de la Gare,45.8749934925375340,4.8330021360822780,18,OPEN,18,0,Orange,33001,station_velo
414,"13, Rue Pierre Voyant",45.7649456438753100,4.9010152745308350,20,OPEN,20,0,Orange,10013,station_velo
415,"101, Cours Charlemagne",45.7405383152039140,4.8191795184368050,32,OPEN,28,2,Vert,2005,station_velo
416,"Face 30, Rue Cdt Charcot",45.7550310886452600,4.8077850541519440,32,OPEN,32,0,Orange,5030,station_velo
417,"Face 2, Rue Pierre Delore",45.7386358835747000,4.8524001839789180,20,OPEN,0,20,Bleu,8039,station_velo
418,Entrée Est du Tube Mode Doux,45.7729266206145400,4.8372695440684375,20,OPEN,0,20,Bleu,1037,station_velo
419,Rue Nungesser et Coli,45.7413487229911060,4.8797231637591720,16,OPEN,13,3,Vert,8030,station_velo
420,"104, Rue Commandant Charcot",45.7496172707888960,4.7955310931658570,15,OPEN,14,1,Vert,5036,station_velo
421,"4, Place Sathonay",45.7692658462512900,4.8300797887695630,15,OPEN,7,8,Vert,1003,station_velo
422,"7, Place Boissier",45.7862776558451700,4.9268855599077890,20,OPEN,12,8,Vert,12005,station_velo
423,"40, Cours Tolstoï",45.7636407030235000,4.8731410878807795,16,OPEN,0,16,Bleu,10025,station_velo
424,"28, Rue Louis Fort",45.7747495364239260,4.8879713172874080,16,OPEN,0,16,Bleu,10091,station_velo
425,"Face 158, Avenue Roger Salengro",45.7806441632908400,4.8834970167362710,22,OPEN,3,19,Vert,10031,station_velo
426,"3, Rue Antoine Lumière",45.7408946957303000,4.8683054018251575,20,OPEN,14,6,Vert,8054,station_velo
427,Rue Challemel Larcour,45.7294551265970500,4.8441778720101850,20,OPEN,19,0,Orange,7025,station_velo
428,Rue de Créqui,45.7566983441751900,4.8484034857557150,30,OPEN,10,20,Vert,3018,station_velo
429,"4, Place Gailleton",45.7534495026210240,4.8333645518023690,16,OPEN,4,11,Vert,2012,station_velo
430,"54, Rue Jean Jaurès",45.7576238257730240,4.8834373293055560,25,OPEN,16,9,Vert,10023,station_velo
